trial,n_estimators,max_depth,max_depth_order,min_samples_split,min_samples_leaf,max_features,class_weight,params,cv_accuracy_mean,cv_accuracy_std,cv_f1_mean,cv_roc_auc_mean,running_best_accuracy,running_best_f1,running_best_roc_auc,rank
179,300,None,999,10,5,sqrt,balanced,"{'class_weight': 'balanced', 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 10, 'n_estimators': 300}",0.8090219639515415,0.0290976060879748,0.7538599005875893,0.8833922295050822,0.8287107258938246,0.7730770342535049,0.8833922295050822,162
188,300,None,999,2,5,log2,balanced,"{'class_weight': 'balanced', 'max_depth': None, 'max_features': 'log2', 'min_samples_leaf': 5, 'min_samples_split': 2, 'n_estimators': 300}",0.8090219639515415,0.0290976060879748,0.7538599005875893,0.8833922295050822,0.8287107258938246,0.7730770342535049,0.8833922295050822,163
191,300,None,999,10,5,log2,balanced,"{'class_weight': 'balanced', 'max_depth': None, 'max_features': 'log2', 'min_samples_leaf': 5, 'min_samples_split': 10, 'n_estimators': 300}",0.8090219639515415,0.0290976060879748,0.7538599005875893,0.8833922295050822,0.8287107258938246,0.7730770342535049,0.8833922295050822,164
175,100,None,999,2,5,sqrt,balanced,"{'class_weight': 'balanced', 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 2, 'n_estimators': 100}",0.8090219639515415,0.018735362516731746,0.7523603406660823,0.8830108556832694,0.8287107258938246,0.7730770342535049,0.8833895380133624,165
178,100,None,999,10,5,sqrt,balanced,"{'class_weight': 'balanced', 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 10, 'n_estimators': 100}",0.8090219639515415,0.018735362516731746,0.7523603406660823,0.8830108556832694,0.8287107258938246,0.7730770342535049,0.8833922295050822,166
187,100,None,999,2,5,log2,balanced,"{'class_weight': 'balanced', 'max_depth': None, 'max_features': 'log2', 'min_samples_leaf': 5, 'min_samples_split': 2, 'n_estimators': 100}",0.8090219639515415,0.018735362516731746,0.7523603406660823,0.8830108556832694,0.8287107258938246,0.7730770342535049,0.8833922295050822,167
190,100,None,999,10,5,log2,balanced,"{'class_weight': 'balanced', 'max_depth': None, 'max_features': 'log2', 'min_samples_leaf': 5, 'min_samples_split': 10, 'n_estimators': 100}",0.8090219639515415,0.018735362516731746,0.7523603406660823,0.8830108556832694,0.8287107258938246,0.7730770342535049,0.8833922295050822,168
127,100,6,6,2,5,sqrt,balanced,"{'class_weight': 'balanced', 'max_depth': 6, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 2, 'n_estimators': 100}",0.8089924160346695,0.029309084346469894,0.7518346085393696,0.8793933852632911,0.8216487737614498,0.7690274458407216,0.8833895380133624,169
130,100,6,6,10,5,sqrt,balanced,"{'class_weight': 'balanced', 'max_depth': 6, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 10, 'n_estimators': 100}",0.8089924160346695,0.029309084346469894,0.7518346085393696,0.8793933852632911,0.8216487737614498,0.7690274458407216,0.8833895380133624,170
139,100,6,6,2,5,log2,balanced,"{'class_weight': 'balanced', 'max_depth': 6, 'max_features': 'log2', 'min_samples_leaf': 5, 'min_samples_split': 2, 'n_estimators': 100}",0.8089924160346695,0.029309084346469894,0.7518346085393696,0.8793933852632911,0.8216487737614498,0.7690274458407216,0.8833895380133624,171
142,100,6,6,10,5,log2,balanced,"{'class_weight': 'balanced', 'max_depth': 6, 'max_features': 'log2', 'min_samples_leaf': 5, 'min_samples_split': 10, 'n_estimators': 100}",0.8089924160346695,0.029309084346469894,0.7518346085393696,0.8793933852632911,0.8216487737614498,0.7690274458407216,0.8833895380133624,172
169,100,None,999,2,1,sqrt,balanced,"{'class_weight': 'balanced', 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",0.8075839653304442,0.015797420391551197,0.7459454548636396,0.8686785171463856,0.8287107258938246,0.7730770342535049,0.8833895380133624,173
181,100,None,999,2,1,log2,balanced,"{'class_weight': 'balanced', 'max_depth': None, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",0.8075839653304442,0.015797420391551197,0.7459454548636396,0.8686785171463856,0.8287107258938246,0.7730770342535049,0.8833922295050822,174
128,300,6,6,2,5,sqrt,balanced,"{'class_weight': 'balanced', 'max_depth': 6, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 2, 'n_estimators': 300}",0.8061952132374668,0.024891644850306906,0.7470717469921048,0.8784874344278734,0.8216487737614498,0.7690274458407216,0.8833895380133624,175
