trial,max_depth,max_depth_order,min_samples_split,min_samples_leaf,criterion,class_weight,tree_depth,leaf_count,params,cv_accuracy_mean,cv_accuracy_std,cv_f1_mean,cv_roc_auc_mean,running_best_accuracy,running_best_f1,running_best_roc_auc,rank
13,4,4,2,5,gini,None,4,14,"{'class_weight': None, 'criterion': 'gini', 'max_depth': 4, 'min_samples_leaf': 5, 'min_samples_split': 2}",0.8090022653402935,0.011829282581284583,0.7222092809161389,0.8529839539596594,0.8117994681374963,0.7265335023360522,0.8529839539596594,31
14,4,4,10,5,gini,None,4,14,"{'class_weight': None, 'criterion': 'gini', 'max_depth': 4, 'min_samples_leaf': 5, 'min_samples_split': 10}",0.8090022653402935,0.011829282581284583,0.7222092809161389,0.8529839539596594,0.8117994681374963,0.7265335023360522,0.8529839539596594,32
58,4,4,2,5,entropy,None,4,14,"{'class_weight': None, 'criterion': 'entropy', 'max_depth': 4, 'min_samples_leaf': 5, 'min_samples_split': 2}",0.8090022653402935,0.011829282581284583,0.7222092809161389,0.8499772806434249,0.8160149709445484,0.7423774299563745,0.8529839539596594,33
59,4,4,10,5,entropy,None,4,14,"{'class_weight': None, 'criterion': 'entropy', 'max_depth': 4, 'min_samples_leaf': 5, 'min_samples_split': 10}",0.8090022653402935,0.011829282581284583,0.7222092809161389,0.8499772806434249,0.8160149709445484,0.7423774299563745,0.8529839539596594,34
78,6,6,20,5,entropy,None,6,24,"{'class_weight': None, 'criterion': 'entropy', 'max_depth': 6, 'min_samples_leaf': 5, 'min_samples_split': 20}",0.8076135132473162,0.020819498478992043,0.7298988340771444,0.8449059825000264,0.8188811188811188,0.7423774299563745,0.8529839539596594,35
120,6,6,20,1,gini,balanced,6,25,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 6, 'min_samples_leaf': 1, 'min_samples_split': 20}",0.8076036639416921,0.01950685749890833,0.7487865695181821,0.8412408172635446,0.8188811188811188,0.7551505161389198,0.8529839539596594,36
66,5,5,20,1,entropy,None,5,18,"{'class_weight': None, 'criterion': 'entropy', 'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 20}",0.8075938146360683,0.012106154922368925,0.7206570454268665,0.8463514454893766,0.8160149709445484,0.7423774299563745,0.8529839539596594,37
65,5,5,10,1,entropy,None,5,20,"{'class_weight': None, 'criterion': 'entropy', 'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 10}",0.8075938146360683,0.012106154922368925,0.7160324361628709,0.8340912521241675,0.8160149709445484,0.7423774299563745,0.8529839539596594,38
19,5,5,2,1,gini,None,5,23,"{'class_weight': None, 'criterion': 'gini', 'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 2}",0.807593814636068,0.01028486357309692,0.7217122952204398,0.8463169838404948,0.8132276174529697,0.7270785097446646,0.8529839539596594,39
20,5,5,10,1,gini,None,5,21,"{'class_weight': None, 'criterion': 'gini', 'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 10}",0.807593814636068,0.006862641077028732,0.7208855798958461,0.8407969850015306,0.8132276174529697,0.7270785097446646,0.8529839539596594,40
